iter	Passed	Remaining
406	7163	10437
407	7179	10416
408	7196	10398
409	7234	10410
410	7264	10410
411	7290	10405
412	7317	10401
413	7346	10398
414	7376	10398
415	7412	10405
416	7442	10405
417	7473	10405
418	7509	10412
419	7541	10414
420	7570	10411
421	7599	10408
422	7628	10406
423	7661	10408
424	7687	10400
425	7714	10394
426	7744	10392
427	7770	10384
428	7798	10379
429	7827	10375
430	7856	10372
431	7886	10369
432	7915	10364
433	7941	10357
434	7970	10352
435	8001	10350
436	8030	10345
437	8060	10342
438	8089	10337
439	8124	10340
440	8159	10343
441	8189	10338
442	8217	10332
443	8244	10324
444	8279	10326
445	8307	10319
446	8341	10319
447	8369	10312
448	8400	10308
449	8431	10305
450	8461	10300
451	8495	10299
452	8527	10297
453	8557	10291
454	8586	10284
455	8613	10275
456	8639	10265
457	8669	10259
458	8694	10248
459	8721	10238
460	8750	10231
461	8780	10225
462	8808	10216
463	8837	10209
464	8867	10202
465	8895	10193
466	8925	10186
467	8951	10176
468	8981	10168
469	9009	10159
470	9037	10150
471	9066	10142
472	9094	10132
473	9123	10123
474	9151	10114
475	9181	10107
476	9208	10096
477	9237	10087
478	9267	10079
479	9294	10069
480	9323	10060
481	9350	10049
482	9378	10038
483	9407	10029
484	9437	10020
485	9465	10011
486	9493	9999
487	9524	9992
488	9551	9981
489	9578	9969
490	9605	9958
491	9632	9946
492	9659	9933
493	9687	9923
494	9716	9912
495	9836	9995
496	9867	9986
497	9895	9975
498	9926	9966
499	9955	9955
500	9983	9943
501	10012	9932
502	10044	9924
503	10072	9912
504	10102	9902
505	10132	9891
506	10166	9885
507	10195	9874
508	10227	9865
509	10256	9854
510	10296	9852
511	10327	9843
512	10363	9838
513	10390	9824
514	10420	9813
515	10446	9798
516	10474	9785
517	10509	9778
518	10537	9765
519	10564	9751
520	10591	9737
521	10617	9722
522	10645	9709
523	10673	9695
524	10701	9682
525	10729	9668
526	10756	9654
527	10787	9643
528	10815	9630
529	10845	9618
530	10873	9604
531	10902	9591
532	10935	9581
533	10962	9566
534	10992	9554
535	11021	9540
536	11057	9533
537	11097	9530
538	11129	9518
539	11163	9509
540	11195	9498
541	11231	9491
542	11268	9483
543	11298	9471
544	11327	9456
545	11357	9443
546	11391	9433
547	11423	9422
548	11452	9408
549	11478	9391
550	11506	9376
551	11535	9362
552	11567	9350
553	11598	9337
554	11625	9321
555	11653	9305
556	11680	9290
557	11706	9272
558	11731	9255
559	11756	9236
560	11784	9221
561	11816	9209
562	11848	9196
563	11877	9181
564	11904	9165
565	11935	9152
566	11971	9142
567	11998	9125
568	12026	9109
569	12051	9091
570	12078	9074
571	12108	9060
572	12136	9044
573	12163	9027
574	12189	9009
575	12215	8991
576	12245	8977
577	12274	8961
578	12302	8945
579	12332	8930
580	12361	8914
581	12387	8896
